Date,Description,Amount
01-01-2025,Stripe Transfer - Subscription Revenue,501.87
01-01-2025,Office Rent Payment,-3500
02-01-2025,Stripe Transfer - Subscription Revenue,631.2
03-01-2025,Stripe Transfer - Subscription Revenue,308.84
03-01-2025,AWS Monthly Bill,-606.45
04-01-2025,Stripe Transfer - Subscription Revenue,324.3
04-01-2025,Stripe Transfer - Subscription Revenue,674.55
07-01-2025,Meta Ads Campaign,-1851.5
08-01-2025,Stripe Transfer - Subscription Revenue,298.23
08-01-2025,Stripe Transfer - Client Payment,3463.25
09-01-2025,Starbucks,-31.48
10-01-2025,Stripe Transfer - Subscription Revenue,301.1
10-01-2025,Stripe Transfer - Subscription Revenue,764.77
10-01-2025,Linear App,-48
10-01-2025,Office Supplies - Amazon,-245.85
12-01-2025,Stripe Transfer - Subscription Revenue,437.37
12-01-2025,Google Ads Campaign,-2478.41
14-01-2025,Stripe Transfer - Subscription Revenue,444.92
14-01-2025,Stripe Transfer - Subscription Revenue,382.13
14-01-2025,Stripe Transfer - Subscription Revenue,704.9
14-01-2025,Office Supplies - Amazon,-16.42
15-01-2025,Stripe Transfer - Subscription Revenue,362.79
15-01-2025,Gusto Payroll - Mid-month,-10000
15-01-2025,Vercel Pro Plan,-40
16-01-2025,GitHub Enterprise,-44
16-01-2025,Uber Rides,-137.38
17-01-2025,Stripe Transfer - Subscription Revenue,312.77
17-01-2025,Starbucks,-188.43
18-01-2025,Stripe Transfer - Subscription Revenue,521.01
18-01-2025,Stripe Transfer - Subscription Revenue,319.97
18-01-2025,Notion Team Plan,-96
19-01-2025,Stripe Transfer - Subscription Revenue,334.58
19-01-2025,Stripe Transfer - Subscription Revenue,409.51
19-01-2025,Stripe Transfer - Subscription Revenue,657.75
20-01-2025,Stripe Transfer - Client Payment,6210.84
21-01-2025,Stripe Transfer - Subscription Revenue,378.76
21-01-2025,Stripe Transfer - Subscription Revenue,757.86
22-01-2025,Stripe Transfer - Subscription Revenue,539.08
22-01-2025,Stripe Transfer - Subscription Revenue,389.99
22-01-2025,Stripe Transfer - Subscription Revenue,535.65
22-01-2025,Stripe Transfer - Client Payment,7235.38
22-01-2025,Slack Business+,-150
23-01-2025,Stripe Transfer - Subscription Revenue,296.27
24-01-2025,Stripe Transfer - Subscription Revenue,329.29
26-01-2025,Stripe Transfer - Subscription Revenue,734.65
